5,13,21,6,16,8,26,12,18,6,1,24,25,21,19,4,10,11,26,12,4,11,18,14,19,8,7,14,6,9,22,10
25,17,20,17,21,24,17,2,17,22,25,21,22,12,12,20,18,5,22,10,25,17,20,13,11,25,18,4,13,6,4,22
6,16,10,21,4,5,5,8,26,23,5,20,26,25,22,7,23,8,11,11,17,5,20,7,6,17,10,14,3,5,7,7
23,8,11,11,4,17,13,3,16,6,17,26,4,17,13,13,9,1,7,16,6,24,8,17,18,12,7,20,9,13,22,13
26,10,1,14,17,12,22,11,17,5,4,1,7,4,22,6,18,16,10,21,14,7,5,21,14,1,17,26,7,26,12,5
3,7,25,21,24,21,5,5,14,10,20,2,10,12,2,17,3,18,20,2,10,4,6,8,18,18,25,9,26,5,20,11
26,5,13,22,4,21,6,11,19,10,8,11,6,23,8,11,21,23,17,12,19,26,6,20,9,8,8,4,4,4,21,22
8,4,23,11,2,6,21,6,16,23,14,20,4,6,9,25,3,21,17,26,5,18,5,5,22,12,4,11,6,5,26,13
15,17,17,10,12,20,20,21,7,19,25,17,16,6,5,21,14,12,1,22,9,4,24,6,12,7,7,20,5,26,6,11
26,2,19,6,4,17,22,7,15,7,9,16,21,6,24,8,8,4,18,11,6,6,8,17,14,20,7,16,21,1,5,3
14,21,22,16,4,10,13,17,3,12,17,21,13,21,14,5,4,6,17,5,12,26,26,22,18,18,7,11,6,6,22,15
5,5,24,2,4,13,22,16,14,6,17,24,5,26,12,7,18,5,4,14,17,6,13,16,14,26,7,12,6,12,16,13
18,10,17,25,1,12,13,7,14,21,22,16,4,24,22,11,16,4,17,21,13,5,2,5,4,13,8,4,1,6,13,10
7,26,14,21,16,12,7,5,23,10,12,12,1,5,20,7,5,14,4,25,1,8,18,15,8,14,12,19,18,8,5,15
3,16,20,5,15,9,2,9,4,25,19,8,14,1,9,1,3,8,20,14,18,5,25,21,12,4,19,12,12,19,12,12
14,15,8,19,14,15,19,13,18,23,24,13,14,5,20,16,18,14,7,1,20,9,8,14,18,1,18,16,5,19,12,14
14,5,12,5,2,12,16,9,9,1,3,1,5,23,13,20,23,14,4,9,20,5,5,14,18,1,8,3,20,5,14,5
21,4,18,5,20,14,8,1,5,15,5,20,6,15,12,19,5,4,20,9,23,5,14,8,1,5,9,15,25,20,5,25
17,8,5,5,14,3,20,1,25,3,18,5,9,6,20,2,18,19,16,1,13,8,8,5,23,5,14,1,20,1,13,1
20,5,7,25,5,5,18,12,2,20,5,5,6,15,1,19,6,9,15,20,21,5,20,21,1,5,15,20,15,1,18,13
1,5,5,18,20,14,18,20,9,2,19,5,4,4,14,9,1,1,8,20,20,13,19,20,5,23,16,9,5,18,15,1
7,18,9,5,23,6,5,2,1,5,3,20,4,4,8,9,12,3,5,9,8,19,9,20,5,7,15,5,1,15,19,4
4,18,25,4,12,15,18,9,20,18,11,12,13,12,5,8,1,7,20,4,8,1,18,4,16,14,5,15,8,13,7,6
13,6,5,21,8,5,5,3,4,13,18,9,16,6,5,9,13,5,8,14,12,19,19,20,20,18,20,22,4,15,8,23
15,2,11,18,21,15,24,15,7,8,21,12,2,19,15,12,9,6,2,2,23,6,12,18,22,17,17,16,18,14,7,11
19,19,15,20,23,20,17,19,10,17,19,19,5,11,26,26,23,1,20,10,11,12,21,4,9,1,23,9,14,6,2,14
25,16,22,20,20,13,26,6,16,11,23,7,4,11,26,24,20,10,3,4,9,7,11,21,8,21,1,21,5,11,3,1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
